id,pet,country,score,age,weight
S665,cat,NL,109,9,5.806986863392343
S666,cat,NL,91,7,10.061609455821547
S667,cat,NL,90,8,8.827771685321443
S668,cat,NL,99,3,10.792858249041238
S669,cat,NL,91,7,8.914519134153995
S670,cat,NL,108,9,7.629384202349734
S671,cat,NL,100,5,7.241349122847085
S672,cat,NL,91,10,9.672101213861993
S673,cat,NL,85,9,9.76741834517783
S674,cat,NL,99,7,11.471553559586269
S675,cat,NL,102,8,11.825703269070532
S676,cat,NL,84,3,8.066156523454596
S677,cat,NL,89,1,9.15065041204255
S678,cat,NL,95,10,11.1326182857458
S679,cat,NL,96,3,10.908124785606102
S680,cat,NL,79,7,10.592001644096332
S681,cat,NL,89,4,9.533275880026318
S682,cat,NL,82,9,10.62019943939012
S683,cat,NL,95,5,8.619616334705519
S684,cat,NL,84,9,9.47837603256224
S685,cat,NL,83,4,8.256610638842774
S686,cat,NL,114,4,6.120206964838324
S687,cat,NL,101,5,10.28491151525815
S688,cat,NL,73,11,9.836225052518616
S689,cat,NL,90,5,6.6389285003244165
S690,cat,NL,83,6,9.16827777843765
S691,cat,NL,90,10,10.308450698574395
S692,cat,NL,95,5,8.883292269194207
S693,cat,NL,55,6,12.5022025539739
S694,cat,NL,94,4,4.9708154828558975
S695,cat,NL,88,8,11.698344996342296
S696,cat,NL,79,9,8.417048225109298
S697,cat,NL,99,10,12.68869319338784
S698,cat,NL,119,4,5.351086726215711
S699,cat,NL,86,7,10.811202286072225
S700,cat,NL,93,8,9.39094347203337
S701,ferret,UK,117,6,6.622586838209845
S702,ferret,UK,117,7,5.542936227965551
S703,ferret,UK,115,5,5.553075910688975
S704,ferret,UK,124,2,3.5405622119711513
S705,ferret,UK,98,7,4.224600428773048
S706,ferret,UK,115,4,3.8456820125104163
S707,ferret,UK,127,4,0.9069058902327329
S708,ferret,UK,102,6,3.8445727659615865
S709,ferret,UK,106,8,7.126815752515618
S710,ferret,UK,129,9,4.98015177819069
S711,ferret,UK,124,5,5.097524813813235
S712,ferret,UK,108,11,7.592861397938741
S713,ferret,UK,104,12,7.557568845768268
S714,ferret,UK,117,8,8.348679536512734
S715,ferret,UK,122,5,3.9902707408129867
S716,ferret,UK,122,2,1.4139361304795401
S717,ferret,UK,116,9,6.139331187817028
S718,ferret,UK,108,7,3.1312079012346397
S719,ferret,UK,107,9,6.0881758914179755
S720,ferret,UK,119,7,5.298598757934291
S721,ferret,UK,106,8,5.948393505108998
S722,ferret,UK,114,6,6.425116333217016
S723,ferret,UK,123,11,4.428037315088338
S724,ferret,UK,119,12,9.161021341039165
S725,ferret,UK,112,4,4.233639539011501
S726,ferret,UK,93,9,8.581030570490876
S727,ferret,UK,107,6,3.116898704603824
S728,ferret,UK,108,7,5.634888325942771
S729,ferret,UK,107,6,1.9029832992813884
S730,ferret,UK,96,11,5.572515112695083
S731,ferret,UK,114,6,8.085863304975764
S732,ferret,UK,117,5,1.6987071800421836
S733,ferret,UK,113,5,4.737130665348154
S734,ferret,UK,120,7,3.3530955809656664
S735,ferret,UK,122,6,2.6831913971801797
S736,ferret,UK,130,3,5.948625097784278
S737,ferret,UK,122,10,9.082482999438987
S738,ferret,UK,115,8,4.899649712096441
S739,ferret,UK,120,9,7.15326960562827
S740,ferret,UK,119,7,4.709279294173959
S741,ferret,UK,117,4,2.5041920988993533
S742,ferret,UK,106,6,5.441028556537677
S743,ferret,UK,107,3,2.2564973785407796
S744,ferret,UK,106,10,3.109287231586379
S745,ferret,UK,120,15,7.377179048680629
S746,ferret,UK,116,3,0.8695052629018152
S747,ferret,UK,122,10,7.55651576825821
S748,ferret,UK,112,8,4.156519228129948
S749,ferret,UK,107,9,5.632392119204581
S750,ferret,UK,101,5,4.614884751466227
S751,ferret,NL,106,9,7.219383542548143
S752,ferret,NL,111,9,2.7374904586422217
S753,ferret,NL,123,7,5.159939650225346
S754,ferret,NL,116,4,2.478363198752841
S755,ferret,NL,118,5,6.040639575779121
S756,ferret,NL,107,3,2.7425942325772095
S757,ferret,NL,117,6,4.50905716486075
S758,ferret,NL,96,4,3.023087542850826
S759,ferret,NL,123,4,5.712972406510531
S760,ferret,NL,115,8,6.250227918281605
S761,ferret,NL,107,8,5.545880038355122
S762,ferret,NL,124,6,2.7658013191682382
S763,ferret,NL,103,3,5.917792661038035
S764,ferret,NL,115,5,4.083276157974142
S765,ferret,NL,117,6,5.696626686533589
S766,ferret,NL,108,5,3.2111733517700265
S767,ferret,NL,117,9,5.593001241982046
S768,ferret,NL,112,6,7.424272373651134
S769,ferret,NL,109,3,1.4086840580031579
S770,ferret,NL,105,13,5.76987133488335
S771,ferret,NL,106,4,7.443256125455754
S772,ferret,NL,104,11,4.500825901717893
S773,ferret,NL,101,7,3.285491186623813
S774,ferret,NL,118,11,6.266541753668051
S775,ferret,NL,98,10,5.910346378318605
S776,ferret,NL,115,8,9.069062997938396
S777,ferret,NL,106,8,3.188678086445632
S778,ferret,NL,109,3,3.2598095119716115
S779,ferret,NL,105,9,7.634546395889775
S780,ferret,NL,111,9,7.485839164760809
S781,ferret,NL,121,7,3.622808941825162
S782,ferret,NL,116,7,4.127758689487713
S783,ferret,NL,119,4,1.1324676897724424
S784,ferret,NL,107,8,6.036796762234728
S785,ferret,NL,113,9,7.473383395331588
S786,ferret,NL,92,5,4.595352233922866
S787,ferret,NL,101,1,2.3281577615392464
S788,ferret,NL,98,7,2.259963065238929
S789,ferret,NL,103,3,2.5882652093355203
S790,ferret,NL,105,9,6.146076198704055
S791,ferret,NL,112,10,1.2610317466392544
S792,ferret,NL,92,7,6.379370094149321
S793,ferret,NL,123,5,2.3363637533663097
S794,ferret,NL,88,8,6.39774847242072
S795,ferret,NL,116,1,3.0276944400443258
S796,ferret,NL,118,7,3.2127432665545075
S797,ferret,NL,98,10,0.7909462181256837
S798,ferret,NL,123,3,3.961223064563014
S799,ferret,NL,103,8,6.919579507575879
S800,ferret,NL,120,5,0.5048158962441844
